Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
1.0	-417.10998624698766	0.6541166725888891 0.47152805800749864 0.3438120388568505	0.7961482624134936	0.6300005070536576	0.2146041422491871	0.6770792181346166	0.0
2.0	-440.5272683886681 0.8014286335645138 0.9030692000161112 0.5308229976537665	0.2454366126680605	0.10361573935262702	0.05389779471185463	0.35413872103532673	1.0
3.0	-410.763345207295 0.8573783147232663 0.7334277817519896	0.9400814359153493	0.6657008860400868	0.436850296280511 0.05516945909022508	0.6274418884410439	0.0
4.0	-424.1160393459956 0.3322802415757651 0.30524171819789425 0.6385124921233872	0.17648644356501342	0.45310929988404414	0.58359076875914 0.5694946452449591	1.0
5.0	-406.96215983844905 0.49523981236681336	0.6760339027619848 0.5150927316486538	0.9032704141237194	0.4626249703414129	0.15394587951740824	0.4322081712935367	1.0
6.0	-417.18710320135597 0.7973290427682364 0.9201829458236599 0.551226050646859	0.22596335861434452	0.08990687888523571	0.03634080601513062	0.3322365581317982	1.0
7.0	-443.4555493685552 0.4951435927489358 0.8446722736301233 0.6895284591411431	0.6447286727470373	0.1102640600713124	0.742874365523392	0.013407363081684887 1.0
8.0	-420.03498237748863 0.9097255378991481 0.38957970953523846 0.6918372779681723	0.4069465389378758	0.46125529724264647	0.4534580018174479	0.9298383574539825	1.0
9.0	-423.9651494756288 0.1285309644014051 0.8033362473165052 0.10600269509864724	0.9450327237668159	0.6657332054425359	0.8825187297655571	0.6547274657333002	1.0
10.0 -414.91272962556826 0.5153429202103857 0.8381962528247063	0.5752584514481494	0.3620150225109102	0.9124826885442295	0.2175065482912738	0.42113893175129924	1.0
11.0 -410.74796322885686 0.48175950934282175 0.5688453572766814	0.8377897290165544	0.5903500772488478	0.538646567480389 0.5180094893840335 0.07928108508016085 1.0
12.0 -418.42285888407145 0.7182337971556569 0.38910251541209195	0.29380724981567563	0.13571545074678892	0.3900837565062806	0.6104821329431986	0.023469775918948943 0.0
13.0 -415.81695727112225 0.21562609471974192 0.4521473967516728	0.7268276248758632	0.41251355116124677	0.6539418401410716	0.3319447807643625	0.7771455457307833	0.0
14.0 -389.74132541053183 0.9860056892870577 0.9115353298209772	0.04445889109914125	0.4653434557001569	0.43539765304034217	0.9503914269073143	0.2724082952173894	1.0
15.0 -419.08323544796224 0.6840630492177759 0.47419625638015916	0.9139567946615546	0.7689319837884642	0.4174533226289927	0.6740991556527963	0.9644965937374756	0.0
16.0 -430.614943771243 0.773800113434729 0.9299457897145975	0.25383937560930403	0.038287233045172675 0.36680705858569185 0.018136006597309295 0.1090261278702801 1.0
17.0 -424.39743984005804 0.9660120792628528 0.39382821770360954	0.8410716939523086	0.3786865714915566	0.270277287368895	0.058831141785892216 0.3509414485330885	1.0
18.0 -428.5749401848416 0.43129088296016815 0.7640239591644222	0.9064793597808821	0.8826131460181565	0.5145554672577807	0.5154434359683114	0.6950439031787068	0.0
