Iteration	Y	var_1	var_2	var_3	var_4
1.0	-488.50318048167605	0.9817767099646879	0.2650785988735177	0.08781468087761157	0.0
2.0	-500.8422982638339	0.8243348672967376	0.947061174256764	0.22830475362304614	0.0
3.0	-492.99759177005325	0.636212425305889	0.30496081891141813	0.19342624894457838	0.0
4.0	-485.40926361927393	0.6135762618525719	0.3911920688760855	0.704112514912671	0.0
5.0	-522.7435986642162	0.7216859878745281	0.8438100065540922	0.38441029065607213	1.0
6.0	-491.4093145496179	0.5150414517207963	1.0	0.08457145171788258	1.0
7.0	-522.621663128863	0.7237958703006986	0.8325159612014409	0.39463398306033715	1.0
8.0	-494.6964365412312	0.8163844396346862	0.9079934148504977	0.42234334334885054	1.0
9.0	-535.5764913362868	0.6967520080785179	0.8238652363471423	0.3766665523424124	1.0
10.0	-517.7600072564402	0.672345696133628	0.8096224778253733	0.3651948520048251	1.0
11.0	-482.14316418616295	0.6909287195630957	0.8325642277071511	0.38874616366300646	1.0
12.0	-506.5748046326862	0.7109297811836551	0.8241094360530414	0.3753156683264603	1.0
13.0	-494.17512590241347	0.7109996993242707	0.8241254571492804	0.37531650820787776	1.0
14.0	-519.4841945364881	0.7073818052694937	0.8248421222064343	0.3769825435480034	1.0
15.0	-512.4168325064603	0.7090538244904577	0.8244456032402563	0.37611495703320263	1.0
16.0	-514.7890905546359	0.7100882522386979	0.8242986418433491	0.37569364447474657	1.0
17.0	-498.6150418787817	0.7227075729850536	0.8382539876109615	0.38954188152926655	1.0
18.0	-478.4999417774275	0.38883904219822674	0.5481234116448745	0.7015597768285096	1.0
